City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Khovd,90,MN,1601903289,57,48.01,91.64,43.52,0.65
Asău,95,RO,1601903289,82,46.43,26.4,71.01,6.13
Kiunga,97,PG,1601903290,97,-6.12,141.29,74.46,3.67
Naushki,0,RU,1601903291,76,50.38,106.11,35.4,2.91
Hofn,90,IS,1601903291,93,64.25,-15.21,44.6,8.05
San Patricio,5,MX,1601903292,94,19.22,-104.7,77.0,5.82
Kysyl-Syr,100,RU,1601903293,89,63.9,122.76,40.06,10.16
Thunder Bay,90,CA,1601903062,81,48.4,-89.32,45.0,5.82
Bundaberg,0,AU,1601903294,77,-24.85,152.35,66.99,4.7
Nouakchott,20,MR,1601903294,58,18.09,-15.98,87.8,9.17
Saldanha,0,ZA,1601903295,74,-33.01,17.94,68.0,11.41
Havelock,75,US,1601903296,72,34.88,-76.9,61.0,10.29
Airai,61,TL,1601903297,100,-8.93,125.41,61.65,1.86
Zavyalovo,75,RU,1601903298,74,54.51,82.45,33.8,4.47
Taunggyi,100,MM,1601903298,100,20.78,97.03,65.21,2.06
Jaciara,0,BR,1601903299,18,-15.97,-54.97,103.41,3.98
East London,0,ZA,1601903300,73,-33.02,27.91,75.2,13.87
Marabu,40,MY,1601903300,94,4.41,114.01,78.8,2.24
Chui,100,UY,1601903301,95,-33.7,-53.46,58.62,11.01
Alice Springs,90,AU,1601903255,100,-23.7,133.88,50.0,14.99
Alofi,75,NU,1601903302,88,-19.06,-169.92,75.2,13.87
Isetskoye,42,RU,1601903303,79,56.49,65.32,36.99,9.35
Mayo,1,US,1601903040,93,38.89,-76.51,59.0,9.17
Vao,1,NC,1601903305,86,-22.67,167.48,70.16,9.28
Elizabeth City,1,US,1601903136,87,36.29,-76.25,57.99,3.36
Sampit,100,ID,1601903306,84,-2.53,112.95,79.07,4.27
Ostrovnoy,0,RU,1601903307,79,68.05,39.51,48.11,5.26
Puerto Colombia,40,CO,1601903307,94,10.99,-74.95,77.0,3.36
Nakusp,9,CA,1601903308,99,50.25,-117.8,46.0,1.01
Jiaxing,40,CN,1601903137,60,30.75,120.75,68.0,8.95
Gravdal,0,NO,1601903309,54,68.12,13.5,57.2,16.11
Kumluca,0,TR,1601903310,30,36.37,30.29,89.29,5.99
Kieta,0,PG,1601903310,77,-6.22,155.63,79.48,5.19
